,Ratings,Full Reviews,Short Reviews
604,4,"I really liked the watch but in the package there is no cotton given by the company for cleaning the watch😐
All features are good and it is handy also👍
It's been 2days and haven't charged it yet,so I can't give much about the battery 🔋 life.
Little disappoint of it's Raise to wake up option😪 It's not fast like Boat but it's ok👍
I bought it for 2300😐
Let's hope for the best❤️
If you are reading my comment don't judge my sentence because first time I am reviewing ☺️in my entire life
Thank...
READ MORE","['4', 'Wonderful']"
605,2,"So look and design are really killing watch set is good even it's work perfect for iPhone feature are good if we compare with other competitive companies in this price segment but the display experience is worst rise to wake is too lazy cons are more then pros personally I don't prefer this product to u guys
Hope u like my rivew","['2', 'Moderate']"
606,5,"I Like the Design of Dizooooo it's Super, Build Quality Great Display Nice and Tracking also Good over all Value for Money 😘","['5', 'Classy product']"
607,3,"Pros: Excellent design, superb display, great battery,
Cons: not accurate health tracking, no stress monitoring, not having a good app on mobile
Showing SPO2 on cloth 😂","['3', 'Good']"
608,4,"Good Value for money Dizo watch at this price point
*Pros
1. Aluminum Body Design
2. Bright Display
3. Accurate HR & SpO2
4. 10+ Days Battery Life
5. All Notification on watch

*Cons
1. Tap to wake feature
2. Extra swap straps not available from Dizo","['4', 'Really Nice']"
609,4,"It will be fine for your daily use, if you are a this on monitoring your fitness on various sports mode, it will not fit for you, because its having only 15 modes, make sure your expectations is available in this or not . I am not a sports person so it is fine for my use.","['4', 'Pretty good']"
610,4,Watch is good looking. But the Dizo iOS app should be more attractive and more user handy and need to be improved a lot.,"['4', 'Good quality product']"
611,5,"Best option under 2000.Spo2 and heart rate working good and watch is really fast in sync as soon as you get notification in your phone without any lag watch also receive msg (same time notification).
*Good looks
*100 + watch face
* Real spo2 and HR sensor(24 hr HR Monitoring,high and low heart rate reminder you can set it through realme link app)
* Fast synchronization with your phone
* Value for money","['5', 'Great product']"
612,3,"Well, The watch is good, Has a lot of watch faces when connected with the Dizo app. Good enough battery life and charging time. But, few things I couldn't skip saying
- It only connects with DIZO App. Watches like Dizo Watch Pro, Dizo Watch, Realme Watch S/S Pro Realme Watch Pro/ 2 Pro connects with Realme Link Application and can sync data with Google Fit.
But somehow they didnt add Dizo Watch 2 into Realme Link and the QR Fails to recognise device in Realme Link.
I can only connect it to DI...
READ MORE","['3', 'No Realme Link. Only DIZO App connnection. So, No Google Fit']"
613,5,"best watch available for this price and features are awesome with the display weight no defective product and great features and 15 sports mode the sensors are high quality with find my phone option and 4 heart modes new displays and very good battery life love the product and cannot find any other watch like this
these are better then mi band and other smart watches you get the price very low mentioned and don't judge it by the price you will love the product and battery charging is awesome...
READ MORE","['5', 'Awesome']"
614,5,"Most valuable smart watch for students. Those who are want to purchase a smart watch, they can go for the watch. If you can spend more money then go for some other watch, but for a student this is a very good smartwatch. Go for it","['5', 'Mind-blowing purchase']"
615,5,Loved this product .. go for it .. dizo did a great work 👍,"['5', 'Worth every penny']"
616,5,"Dizo watch is a good one lauch by realme. It's battery working fine for 10 days,also display make it glorious.
It's perfect in look too.
Go for it","['5', 'Worth every penny']"
617,4,Such a great purchase loved it over all. Lookwise feature wise totally great,"['4', 'Wonderful']"
618,5,These r very good. And I look very beautiful in the hand. works very well... Look like goal😍 density perfect display very bright overall perfect watch,"['5', 'Wonderful']"
619,2,"Dizo application is totally useless. It disconnect the watch every time you minimise the app. So pathetic. Battery lasts about 4 days. Not good enough.
But one thing, the watch looks premium and stylish 👍. That’s the only thing I like so much.","['2', 'Not good']"
620,3,After using this almost 2 months I just says it's a good smart band battery will work for 5 to 6 days and most importantly its just a piece of digital watch. So if you really want to buy a smart watch plz get somethg else. Good thing in this id the trackers works almost correct.,"['3', 'Nice']"
621,4,Impressed.,"['4', 'Good quality product']"
622,5,Awesome 😍,"['5', 'Must buy!']"
623,4,Just wow,"['4', 'Delightful']"
624,4,I love it😍,"['4', 'Good choice']"
625,5,I just loved it 🔥🧿,"['5', 'Just wow!']"
626,4,"Nice product 😊👍
But Display 3/5","['4', 'Delightful']"
627,5,This price range is awesome 👍 watch Kathi jahar 😜❣️ Overall I fully satisfied with watch,"['5', 'Worth every penny']"
628,5,Value for money,"['5', 'Highly recommended']"
629,5,"Best in quality, best in price,overall best","['5', 'Awesome']"
630,5,Excellent product♥️. I love it,"['5', 'Fabulous!']"
631,5,Just wow🔥,"['5', 'Must buy!']"
632,5,Nice smart watch 👍,"['5', 'Brilliant']"
633,5,"Nice product........🖤
I am fall in love with her..........🖤","['5', 'Best in the market!']"
634,5,Loved it,"['5', 'Super!']"
635,5,"Its a Value for money. Just go for it.
1.Build quality
2.Design
3.Features
4.display
5.Looks..
Everything is top notch.... ❤️❤️","['5', 'Worth every penny']"
636,5,Amazing watch in this price segment,"['5', 'Worth every penny']"
637,5,Very nice and good shopping with flipkart,"['5', 'Excellent']"
638,5,Super good looking 😊,"['5', 'Worth every penny']"
639,5,Great Love the watch 🔥🔥,"['5', 'Great product']"
640,5,Value for money,"['5', 'Terrific']"
641,4,A nice watch under the price range.,"['4', 'Pretty good']"
642,5,"I loved this product. Amazing smartwatch from Dizo, also the white colour looks very premium. You can definitely go for it.","['5', 'Terrific purchase']"
643,5,It's amazing watch,"['5', 'Perfect product!']"
644,5,Overall good,"['5', 'Terrific']"
645,5,Good,"['5', 'Simply awesome']"
646,5,"Buy first sale , feeling happy 😊 n features also good..
Perfect budget smartwatch..","['5', 'Fabulous!']"
647,4,"Just loving it. ❤️❤️
Awesome product by flipkart in this price range.","['4', 'Delightful']"
648,4,Awesome 😎👍,"['4', 'Nice product']"
649,5,Good Product at this price range 👍🏻,"['5', 'Super!']"
650,5,Very very nice dizo watch 2 thanks 😊 flipkart,"['5', 'Must buy!']"
651,5,I Love ti 💖 very nice 🙂,"['5', 'Fabulous!']"
652,5,Value of money product .Thanks to flipkart,"['5', 'Terrific']"
653,5,Value for money ❤️💯,"['5', 'Fabulous!']"
654,5,We both Liked the watch 😍,"['5', 'Wonderful']"
655,5,"Amazing Smart Watch
Metal Frame
Full Screen Display
Spo2
Etc.
And Lot of bugs and Glitches","['5', 'Terrific']"
656,4,Overally a nice product,"['4', 'Really Nice']"
657,5,Super 💕💕,"['5', 'Simply awesome']"
658,5,"Build Quality 5⭐
Curve display quality 5⭐
Looks and feel 5⭐
Sensors accuracy 3.5⭐
UI Looks 4⭐
UI smoothness 4⭐ (Considering price)
Battery back-up (with lift to wake up on ): 7 days
OR
10 - 11 days

Value for money ⭐⭐⭐⭐⭐","['5', 'Worth every penny']"
659,5,Superb 👌👌👌,"['5', 'Highly recommended']"
660,4,I am happy,"['4', 'Delightful']"
661,4,"I'm satisfied by the value of money.
It's UI is very smooth with the comparison of Boat's every watchs.","['4', 'Good quality product']"
662,4,Nice product flipkart,"['4', 'Pretty good']"
663,4,Best for this Price ......,"['4', 'Really Nice']"
664,5,"Premium build and looks
Budget friendly
Overall a good smart watch under 3000","['5', 'Wonderful']"
665,5,Good i loved it ...happy me,"['5', 'Great product']"
666,4,"Very nice watch in price segment.Display is also very bright for day light conditions, and also decent packaging.","['4', 'Delightful']"
667,1,Beterry is very disappointing,"['1', 'Very poor']"
668,5,Realme dizo watch 2 is very good connective products and good collety thise watch,"['5', 'Perfect product!']"
669,3,ios users step back yedutha pani anu ee app misbehave chaiyanund notifications varanilla sadhanam poli anu display kollam highly recommended for android users for 2000 its worth buying,"['3', 'Nice']"
670,3,Superb watch for deefence line boys,"['3', 'Does the job']"
671,5,"Nice watch Dizo
My name is julfikar
👌👌👌👌👌👌👌","['5', 'Highly recommended']"
672,5,After two week using im fully satisfied.. Display size is super.. Personally only one negative is wakeup deley on display.. Other features are good.. Im fully satisfied,"['5', 'Terrific']"
673,4,Best watch in budget segment,"['4', 'Delightful']"
674,5,At this price range this a fantabulous smart watch. I am satisfied with this deal.,"['5', 'Simply awesome']"
675,5,Premium smart watch,"['5', 'Classy product']"
676,1,Real me is loosing it's brand image by producing this kind of devices which can measure hear rate and spo2 even if we don't wear it.,"['1', ""Don't waste your money""]"
677,1,Battery problems,"['1', 'Horrible']"
678,4,Good luck,"['4', 'Value-for-money']"
679,3,"Superb And Very premium quality Smart watch by dizo watch 2 at this prise 💯💯
Thank u dizo ❤️👍","['3', 'Just okay']"
680,5,This is very good product 🥰🥰🥰,"['5', 'Terrific purchase']"
681,1,"Cons

1. Exercise tracking is not accurate.

2. When I want to see the time ....the watch screen takes times to get ON.

3. UI is not smooth","['1', 'Not recommended at all']"
682,1,very worst product don't buy in 22 days after display not working,"['1', 'Unsatisfactory']"
683,1,"This item not useful and not returnable I am not happy this product
I don't suggest any more
This watch totally base on mobile phone
I hate this item my money is totally westes.","['1', ""Don't waste your money""]"
684,1,"Purchased Dizo Watch 2 in the last week of September but on 22 nd of November, just after completing 2 months of use all of a sudden the battery got drained out completely and from there on unable to charge. It is not even charging and watch is not working. Today i went to realme service centre where they were unable to find the problem and suggested to change the device. 🙄🙄
Please buy this product at your own risk 🙏🏻🙏🏻🙏🏻","['1', 'Worthless']"
685,3,"Lots of bugs and lags in the dizo app, spo2 not accurate , weather not syncing properly","['3', 'Decent product']"
686,5,Good product 👍,"['5', 'Best in the market!']"
687,1,Bad,"['1', 'Absolute rubbish!']"
688,1,"After using for 2-3 days , the watch is now not charging","['1', 'Worst experience ever!']"
689,5,Nice but happy,"['5', 'Just wow!']"
690,4,Very good nice 😍😍🥰,"['4', 'Nice product']"
691,3,"DIZO HAS NO FIX SERVICE CENTER RIGHT NOW IN Udaipur, Rajasthan","['3', 'Just okay']"
692,4,It is a good looking watch and it's awesome accuracy is also good,"['4', 'Pretty good']"
693,5,V nice,"['5', 'Terrific purchase']"
694,3,"pros-
1)A very classy and attractive watch.
2)Accurate steps count.
3)Light weight.
4)Good strap quality.
cons-
1)Heart sensor is not at all accurate ..it will give false reading most of the time.
2) screen size is small and the display is not that great as compared to mi band or honour where you get oled display.
3)The message notification and call notification has a very poor presentable display theme ,it feels like you are using a 200 rs cheap product.
4)while controlling your music player...
READ MORE","['3', 'Nice']"
695,5,Very good watch. It looks awesome on hand and easy to use.The watch is perfectly cool and worth the price.Comfortable to wear for a long time. Must buy. All features are just fantastic ❤️😍...,"['5', 'Terrific purchase']"
696,4,"Stylish ...worth buying. Very good product according to budget. Very light weight, band is very flexible and good quality. It can serve ur health queries and a style statement too... Must buy.","['4', 'Nice product']"
697,5,A awesome watch. Nice product & good features. Liked it.,"['5', 'Awesome']"
698,5,"Best smart watch in this price range 💥
And the display was perfectly maintain the brightness in outdoor also
And the best part is the looks 💥
Very light weight
Starp was comfortable
But the only complaint from all user of this watch is
Please add more watch faces it could be better.","['5', 'Classy product']"
699,4,"Excellent!!
Talking about the look, material quality of the watch.. it's very good, I'm writing review after using the watch for almost two months.
For more detailed look please checkout the images..
Strap quality of the watch is as expected. Product is exactly shown as in the images on Flipkart.
Need to download the NoiseFit app and boom! Ready to rock.
Battery life of watch is also very good, lasts for almost 3 days even after using it for all day long.
Bluetooth connectivity works properl...
READ MORE","['4', 'Good choice']"
700,4,"the watch is decent looking 80% looks like Apple watch it is bit smaller than Apple watch good product
stepcount is not proper but nice at price point the material used is very light and also have fear to bymistakly break it","['4', 'Nice product']"
701,2,"Not so good as i expected, Noice Colorfit pro is much better than Pro 2. Design is good, very light and comfort to wear. I was purchased Colorfit pro 1 month back that i have gift to my father. today i purchased colorfit pro 2, i thought it will be some advance feature than colorfit pro, but its dissapointed to me. touch is too lazy, battery also not much good as a colorfit pro. When i call to someone the watch not showing any thing even in colorfit pro do that. incoming call notification al...
READ MORE","['2', 'Moderate']"
702,4,"Looks nice but it has not feature to control music volume just you can change music through watch. Some time you feel lagging but it is not , it has that type of operating system but look wise no compromise, looks really good . Overall its good not best","['4', 'Worth the money']"
703,1,"bieng unbaised i would like to bring so.e most important points of this smart watch.
looks are good😎 ...build up quality is also good..😘

but one of the most important reason we buy smart watch to track our activities and to get notifications from your smartphone,
😣in this watch the biggest drawback is the conectivity..not even 5min watch remain conected with mobile...
😕every now and then we have start the app and then connect the watch..
display size is very small😥
in direct sunlight we...
READ MORE","['1', 'Very poor']"
704,5,"the watch is best for you it looks awesome on hand and is easy to use and handle battery life is decent and screen brightness is also decent look Wise i give it 10/09 strap quality is skin friendly information is not that accurate it lacks with features like wether, additional screen face overall its is value for money ❣️","['5', 'Just wow!']"
705,5,it's an amazing product works very well & glass to buy this looks same like apple watch worth to paisa😁😜😘 thanks GoNoise for amazing smart watch is affordable rate,"['5', 'Worth every penny']"
706,5,"Nice budget product ..! One think I would like to mention that, i also worried about the visibility of the display in Bright sunny day...Bt trust me..The display is bright enough to give u the perfect view of everything poping up on its display...So don't worry go for it..!!","['5', 'Mind-blowing purchase']"
707,5,i read so many reviews regarding to watch but watch is simply cool and good and it is very resanable prize and sports modes are very good and it have full touch display and touch is very good and battery pack up also very good...,"['5', 'Terrific purchase']"
708,4,I bought this januvary 1st .it's looking very good and perfect fit to hand ..I feel very happy for this bought it's looking very awesome and working is well..I will write genuine review after used this watch....,"['4', 'Good choice']"
709,5,Well this is a gft for mee.very happy wth the product looks wise very classy and delivery boy is very well behaved.thanks flipkart❤️,"['5', 'Terrific purchase']"
710,5,"The color display is very good.
The band is of good quality and its comfortable even if u wear it for the whole day.
Tracking is also accurate and has good options.
Overall a must buy product at this price range.","['5', 'Fabulous!']"
711,5,Good to have a noise like smart watch everything is excellent about watch specially the sports mode and helping me through out workouts session.,"['5', 'Terrific']"
712,1,"Good design but it's not support properly by noise app
Noise need to upgrade better app to support this band.","['1', 'Hated it!']"
713,5,I gifted this to my boyfriend he was damm happy with the product which was utter satisfaction for me❤️ nice product with everything was well decorated,"['5', 'Brilliant']"
714,1,Bought it for my mom. Just good for tracking steps. Does not alert calls/messages. Get call alerts once in a blue moon. Doesn’t automatically connect to your phone like other watches. Have never received message notifications on this. Not worth buying!!!,"['1', 'Did not meet expectations']"
715,5,"wow so Owsm watch # Feel like Apple watch😜 its so much amazing, Battery backup is too good and long days. overall watch is 5 star.","['5', 'Must buy!']"
716,5,"Very good product, having an beautiful look with multiple functions. Light weight, heart beat sensor, gravity sensor, alarm, sports, and watch dial are good. Quality as good as we see in this pictures.","['5', 'Best in the market!']"
717,5,"What I exactly want 🤩 I am happy wid this ,I just loved this watch nd it's looking damn cool🔥🔥 all over nice 😊 thank you flipkart","['5', 'Awesome']"
718,5,Great product in budget ; If ur looking for more features then u have to add more money ; But this is great and worthy,"['5', 'Classy product']"
719,5,Nice product I’m soo HaPpY full support this watch full helpful product thanks Flipkart,"['5', 'Great product']"
720,4,"Great premium look as expected, Gifted for my wife on our wedding anniversary🎂. She likes it very much. Display size is less compared to dail size, limited watch faces available and faced few delays while pairing with mobile. Still call alerts not working, apart from that working fine. Yet to explore more. Nice smart watch at this price. Magnetic charger cable is easy to charge.","['4', 'Value-for-money']"
721,4,"Good product
Sleeping tracker is good
Activity tracker is good
Heart rate sensor is not seems good for all the time
Sometimes it shows my heart rate 120 Even I’m not wearing the watch touch response is very slow but after the update it’s much better then previous
Battery performance is good","['4', 'Worth the money']"
722,5,"Awesome , Fantabulous and mind-blowing purchase.... Good gadgets by Noise at the range... you can go for it... Delicate touch and look.. makes your wrist look beautiful","['5', 'Super!']"
723,5,"Good Smart watch
Perfect use after use good look like","['5', 'Classy product']"
724,5,Very light and comfortable to wear for a long time. Accuracy is good. The bad material is soft. Good to purchase in this prise range. But there is a room for improvement in the application. It could be more refined. Overal a good deal. Looks the best.,"['5', 'Excellent']"
725,5,"Nice watch , look is to nice classy and best watch","['5', 'Best in the market!']"
726,5,"It's an awesome watch. 👌Totally value for money. Awesome tracking ability with perfection. Love to wear this smartwatch. Totally waterproof. Belt is very light weight and good in material. Battery backup is good too. 👍
Total Experience: Satisfied.","['5', 'Terrific']"
727,5,It’s perfect watch not lot of features But which features are there are absolutely very good. Battery backup is sooo nice and i used it underwater on first day but it’s vary nice,"['5', 'Highly recommended']"
728,5,"Awesome

Really a fabulous smart watch at a low price
.. Worth it!!! One can definitely go for it.. Model is literally genuine..A very good and a phenomenal watch that suits all ..Name is noise but its pleasant 😍","['5', 'Worth every penny']"
729,4,"This is good product, worth for money. I liked the way it looks and design. Cons is the software side, where the watch face was limited and we cannot set custom wallpaper like Mi band 4... it's really appreciate some extra features like custom wallpaper and 3rd party app support should be given in a update... To sum up Best one in this budget range","['4', 'Good choice']"
730,5,"Perfect smart watch to use under budget. Waterproof, notifications work well. All over I like it","['5', 'Excellent']"
731,5,Nice product in this price range. Designed in India. Very elegant and good features. My husband loved it.,"['5', 'Wonderful']"
732,5,I like the watch... Very efficient and very worth it watchh.....my best order,"['5', 'Wonderful']"
733,3,"love from telangana ♥️
everything else good
but
if u think , this watch ll be like as apple watch
you are wrong.
watch is good but u won't feel like branded.
so before buying just see into my review
thank you✅","['3', 'Does the job']"
734,4,"Pros
Looking nyyyc
Battery back up is good
Colour is descent
Cons
Display is little bit small not like small but feel like small","['4', 'Really Nice']"
735,4,"Decent product, the one thing I liked was the design and the feel. The screen size should have been bigger and also the notifications looks very chinese but you cant expect so much in this prize tag. Overall good product. Just delivered, i hope it is worth the hype.","['4', 'Value-for-money']"
736,4,"1. Got good deal on Flipkart
2. Colour is not white not off white but greay
3. China product
4. Economic in this range
5. Find my phone feature is nice
6. Screen response is little laggy but in this price range don't expect like Apple watch so happy","['4', 'Delightful']"
737,5,Awesome watch with great features at this pricepoint. Great looks and can be used as unisex watch.All features work efficiently.,"['5', 'Perfect product!']"
738,5,The product is so good and sometimes it feels like i am using a high range product. it is budget efficient and its customer support team works very good. i had a little bit problem but they told me the solution and now it works very smooth and lastly thanks to goNoise Team for their awesome product. We'll wait for their next product.,"['5', 'Terrific purchase']"
739,5,"It is better to buy this kind of smart watch instaed of that local smartwatch. Very good watch and accurate information about steps, calories, distance traveled.","['5', 'Highly recommended']"
740,4,"very good watch at this price range. User friendly interface. Looks quite premium. few issues I observed is that it has problems while connecting it with mobile phone application for synchronization of data. once you bind the device in your mobile application, you have to keep the Bluetooth of your phone ON all the time and use the watch(which drains out the battery of your phone) or you can use the watch without synchronization for maximum 7 days and then you can sync the data by connecting ...
READ MORE","['4', 'Value-for-money']"
741,5,Awesome watch I just love it price worthy function are good,"['5', 'Awesome']"
742,3,About look it's amazing healthy battery backup decent color display. But only one sim call notification showing and sometimes all notifications are not showing properly it might be problem with noisefit app or what ever it may be Noise should solve that as soon as possible. Even customer support is not supportable so how customer can solve their problem.,"['3', 'Does the job']"
743,5,I buyed this watch and its awesome. As compared to other brands it is one the most wonderful watch with low price and beautiful design and features. I suggest everyone to trust Noise Brand. They are providing good product and service as compare to other brand. Thanks Noise.,"['5', 'Super!']"
744,5,The best smartwatch i have ever used. It's really compact and looks very premium and the battery life is really awesome . The sensors are very accurate . The build quality of the watch is excellent. The connectivity is very fast and easy .,"['5', 'Highly recommended']"
745,5,I brought this watch a couple of months ago and I'm still using it daily. It is a really great smart watch for the price it is sold at. It helps me track my daily fitness task and other functions. It is a really nice product only down side being it's small screen other than that I recommend it.,"['5', 'Fabulous!']"
746,5,I bought a Noise colorFit pro2 before 3 months .product is very good and it look like a Apple Watch .many people ask me whether it is a Apple Watch .It very proud to wear and very comfort and less weight,"['5', 'Brilliant']"
747,5,Good product. Battery is really impressive and easy to connect with your mobile phone. App interference is also excellent and heart rate monitor works fine. Beased on its price it's a really good product.,"['5', 'Super!']"
748,5,It’s a great economical smart watch with heart rate monitoring. Also a good step tracker.,"['5', 'Mind-blowing purchase']"
749,4,"Watch is good ! But adding up of double tap for wake up screen will be effective one !
Best smart watch for thiz price !
And it almost luks lyk apple so better to purchase it who needs a smartwatch like apple in its look !","['4', 'Good quality product']"
750,5,Noise ColorFit Pro 2 is an awesome smart watch with good looks. Battery backup is awesome. It feels super light. Overall it's a classy watch.,"['5', 'Fabulous!']"
751,5,"Very very nice watch in this price ..it is light weight ,it is comfortable ., battery life is also good depends on use..
I recommended my friends they are also happy with this..must buy all..","['5', 'Great product']"
752,4,"In 10 days of purchase, I will say that the watch is a quality watch. And the best thing is that its battery backup is very Very good and I will say about color this color is dashing color.","['4', 'Very Good']"
753,5,"Awesome product. All features are just fantastic. I love my noise watch so much because it helps me a lot when my mobile is not near me within my room. I can see all the notifications on my wrist. At the time of bike drive it also rectifies me my calls & notifications. Love the features like Waterproof, lightweight, colour, accuracy, heart rate sensor & much more.","['5', 'Awesome']"
754,4,Nice watch and nice service by Flipkart and I like this maroon colour most amazing,"['4', 'Good choice']"
755,5,"Watch perfectly awesome Lovely , great looking design, nicer than the pictures show, and the strap with deployment clasp Is comfortable, I haven’t experienced this type of clasp before but find it very useful","['5', 'Great product']"
756,5,"Its an awesome product, the features and looks are just fantastic. Happy with the same and would recommend to all. Low on cost and high in experience.","['5', 'Wonderful']"
757,5,"I have been using it for 3 months...the watch is no less than spectacular.....its totally value for money ....the quality is great....the battery backup is superb and the look..well what do i say..it is as premium as it can get...so overall a very great product...with superb features,classy looks and value for money..good job noise","['5', 'Super!']"
758,5,"Very nice smartwatch...love it's features. There are many display wallpapers available which makes the watch a new one every day. Then the heart beat and pedometer are very accurate and can indicate even the slightest changes. One can also control music during exercising from the watch using it's super Bluetooth connectivity. The watch is also feather light keeping the wrist free. One can also change the watch straps. Super battery life and very fast charging is also provided. Taking everythi...
READ MORE","['5', 'Super!']"
759,1,"not happy at all. it is sensitive to mildest of movements, even when u are not walking, it adds up steps. if u take a nap during day time, it doesn't show it in the sleep section. it doesn't record pulse rate when you are driving, strange! I am a doctor, used this product for more than a month, but not finding it up to the mark as per all its tall claims n reviews. seriously not recommended!","['1', 'Hated it!']"
760,5,Good watch you will get all type of notification alerts quality was also good .. thank you so much noise and flipkart. Trusted seller i received 100% packed product.,"['5', 'Perfect product!']"
761,4,This smart watch purchased for my girl friend on her birthday she was very excited to get this . in this price range this is a awesome smart watch . Don't waste your money on heavy budget smart watch just go for it...,"['4', 'Good quality product']"
762,4,Great watch!!! Easy to use..... Easy to set up... Screen size could have been better in this price range... Good features... Heart rate tracking is really good..... Noise should provide more watch faces.....the limited watch faces are also pretty good.... Overall a good watch!!!,"['4', 'Really Nice']"
763,5,Best thing to gift your loved ones.. loved it n it's features. Best quality.,"['5', 'Perfect product!']"
764,5,"Good quality and nice product.... Battery life is very good and excellent performance and built quality is good......


Thank you","['5', 'Wonderful']"
765,5,Very nice and beautiful watch. Accurate pedometer and heart rate like it very much will recommend to friends and family Thanks noise for such a lovely product,"['5', 'Simply awesome']"
766,5,"This noise colorfit pro 2 smart watch is good working ,good accuracy , battery life is super .This colorfit smart watch is excellent and easy to use.","['5', 'Perfect product!']"
767,5,"nice and awesome watch, I bought for my fiance on 11 nov yet it's work great 😊😊😇😇go for it","['5', 'Great product']"
768,3,Good smartwatch but the touch is not proper as compare to others need to improve its touch screen so as to make the process smooth,"['3', 'Good']"
769,5,This has been one of the prettiest and valuable purchase ever. Looks superb and features awesome. Simply put you won't get disappointed after purchasing it. I gifted this to my sister and she really loved it. Go for it without a second thought.,"['5', 'Classy product']"
770,5,Super watch and battery pickup Super looking nice over all good,"['5', 'Classy product']"
771,5,great delivery timing really fast and packaging was good and smart watch look stunning and best quality,"['5', 'Awesome']"
772,5,Best Smart watch in best price segment... I have really had great time using this watch.,"['5', 'Just wow!']"
773,5,"Wonderful watch!!

I have been using this watch since last few months.

First of all, I would wish to speak about its looks.... The build quality of the watch is quite good, it gives you an impression of wearing an Apple watch. Many of my colleagues have asked me about it and they looked really very interested to buy this. It is a light weight watch, the faces of the dial are supercool but there are only a few.. there is a need to have more watch faces to add more versatility to this smart wa...
READ MORE","['5', 'Worth every penny']"
774,5,Nice watch with good battery backup and band quality is good also looking very nice,"['5', 'Just wow!']"
775,5,"This watch is best for use. It is stylish and comfortable I’m loving it.The color is awesome and attractive, the features are very advanced and professionally designed. It can also connect to the phone. After connecting, the watch work like a phone which help you to take important phone calls while driving.the battery backup is also nice. This watch is water resistant also.","['5', 'Highly recommended']"
776,4,"The Product is perfectly cool and worth the price...!!! i really loved it, but it would have been even more better if the display size was big enough and if it was little faster to use, Hope Noise consider this disadvantage.
Apart from that the product is simply superb...!!!","['4', 'Delightful']"
777,4,"Overall good product 1st talk about screen you really need to increase screen size and curve the angle, overall build quality is good and innovative. You can increase price but make a little bit good PPI screen. Except tht anything is very good.","['4', 'Delightful']"
778,4,Device looks excellent. I had lot of mixed reviews before buying this device. Finally I feel like I took the right decision. Worth the money spent. The reason why I am giving 4 stars is the app that is used to pair the device needs some updates to be done,"['4', 'Nice product']"
779,5,"Really very good excellent product with high battery backup and so smooth touch that feels like an ocean
And also an elegant looks.","['5', 'Wonderful']"
780,5,Hai this is very good product after using 3 days good battery backup nice call alert decent display (but the display too small) exactly activity tracking overall super only disappointed is the alert is throw vibration only its hurts wrist if they make (like beep) sound it could be amazing .,"['5', 'Best in the market!']"
781,4,"Here I'm giving my over all experience with noise watch

1) Touch is nice up to the mark but little bit lagging it's not that matter.
2)Buletooth connectivity is good
3) Nice downloadable watch faces
4) Nice applications integration
5) Notification display is good
6)Alert vibration is good.
7)Magnetic battery charging good
8)steps counting is not up to the mark not matching with my calculation.
Over all budget friendly. Not too cost it's worth using it. I suggest to buys good one.","['4', 'Delightful']"
782,5,Nice & stylish it's been a month since I got it must say I am really happy with the product . Nice built quality good battery back up crisp display. Kudos ✌️,"['5', 'Perfect product!']"
783,5,"I am using this product from last 3 months and the product is working perfectly fine, nice design and good product in this price range.
Thanks noise.","['5', 'Highly recommended']"
784,5,The product is good with the excellent and updated feature... Easy to handle.. Satisfied with the product,"['5', 'Brilliant']"
785,5,"The look of watch is savy and ultra modern.
Its supports physical activities like running, walking and the monitoring functions work very well the same goes for the heart rate sensor...battery life is excellent and lasting and the display is nice....There is a female healthcare option on the device that can help you to track your menstrual cycle. The device also alerts you about the incoming call and message ..It's fully waterproof. It's a perfect buy for those who don't want to shell out a l...
READ MORE","['5', 'Terrific purchase']"
786,3,"great ! Looks like Apple smart watch .but face watches are limited .they have to update in app it will be good .
Heart rate super .","['3', 'Just okay']"
787,3,"Good it is
Features are less ,battery is Good ,Belt of This color is not of Good quality so I recommend all to buy black Blet
Overall it's Ok like product","['3', 'Nice']"
788,5,Amazing to have it. A perfect smart watch in budget. Go and have this amazing watch.,"['5', 'Just wow!']"
789,5,"The product is overall a best buy . If I compare it with other fit band of same price , suggested to go for Noise ColorFit Pro2 . I Own the teal Green which goes well . This Smart Watch comes with minimal yet a stylish one . It has a square Touchscreen dial that looks impressive when lit up . The feature which Impressed me a lot is female health care option is which can let the busy bee is get the prompt about alarming days . The performance of Battery is impressive if compared with other one...
READ MORE","['5', 'Great Product , Worth It ...']"
790,5,"Hi Muneef, Please use the above link to rate us on Playstore regarding the application.
Please try to send the screenshot of the same*, once you do it.
If you find any issue with your product, you can reach out to me on the same number on Whatsapp.
As a token of thanks we would like to give you a surprise gift voucher for the same.
Thank you for your valuable feedback and being a part of the Noise family. watch is superb watch excellent work osm 😍😍😍😍","['5', 'Simply awesome']"
791,5,"Reviewing after over 3 months, the watch itself still feels premium quality, great battery life I almost get 10-14 days of battery life using it for whole 12 hours everytime, the features are pretty good also in terms of accuracy, notifications alert, music control are spot on, sometimes call notification doesn't appear for some reason and the straps are quite good even after this long time.
Overall it is indeed a value for money product in my opinion, absolute pleasure to be a part of the no...
READ MORE","['5', 'Super!']"
792,3,"Using it for last two days, Overall Rating Satisfactorily...

Touch is laggy, it must be much more responsive, watch face are too less and boring outdated, expecting more n interesting watch faces, having more features like Call answer and reject with a quick response message.. more crisp display.. more app support.. But as per Price, watch is worthy for single penny spend...

Good work noise","['3', 'Nice']"
793,4,"Beautiful and stylish watch. Worth of money, display size is not that big, But OK. I have gifter this to my friend.
She is happy with performance and battary life.","['4', 'Wonderful']"
